USER_ID,Q1,Q2,Q3,Q4,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q5_6,Q5_7,Q5_8,Q5_9,Q5_10,Q5_11,Q5_12,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q7,Q8,Q9,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q11,Q12,Q12S1,Q13,Q13S1,Q13S2,Q14,Q14S1,Q15,Q15S1,Q15S2,Q61,gender,age,chiiki
1496,3,3,3,8,50,60,40,60,30,30,50,50,30,60,20,20,3,3,3,3,3,4,2,NA,0,0,1,0,1,1,0,0,3,NA,NA,1,2,2,1,NA,2,NA,NA,2,2,59,4
1497,3,2,3,7,10,10,10,10,10,10,10,10,10,10,10,10,4,4,4,4,4,8,NA,8,0,0,0,0,0,0,0,1,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,4,2,29,23
1498,3,3,1,8,50,50,30,50,60,50,40,40,30,40,50,40,4,4,5,4,4,8,NA,8,0,0,1,0,0,0,0,0,2,NA,NA,2,NA,NA,NA,NA,1,2,2,4,2,73,35
1499,3,1,2,3,50,50,50,50,50,50,50,50,50,50,50,50,3,4,4,3,3,1,2,NA,0,0,0,1,1,1,0,0,2,NA,NA,2,NA,NA,NA,NA,1,1,1,4,2,36,5
1500,4,NA,3,2,40,50,50,50,50,50,50,50,50,50,50,50,3,3,3,3,3,8,NA,8,0,0,0,0,0,0,0,1,1,8,1,NA,NA,NA,2,1,1,1,7,2,1,29,15
1501,3,3,3,8,70,50,30,10,10,20,50,40,30,10,10,10,3,3,3,3,2,1,2,NA,0,0,0,1,0,0,0,0,3,NA,NA,1,1,1,1,NA,1,1,1,3,2,39,22
1502,2,3,3,7,45,45,30,20,30,45,35,40,30,30,5,30,3,3,3,3,3,8,NA,8,0,0,1,0,1,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,38,38
1503,3,3,1,6,50,30,15,10,10,10,10,10,10,10,10,10,2,2,2,2,3,5,1,NA,1,0,0,0,0,0,0,0,2,NA,NA,1,5,5,1,NA,1,2,2,3,2,42,1
1504,3,2,3,2,70,0,20,70,0,0,60,0,20,50,0,0,3,3,1,1,2,1,2,NA,0,1,0,0,1,1,0,0,3,NA,NA,1,1,1,1,NA,1,1,1,4,1,23,13
1505,3,2,2,5,0,0,5,0,75,75,0,0,5,0,70,70,5,4,5,5,5,8,NA,5,1,1,1,1,0,0,0,0,2,NA,NA,1,6,5,2,1,1,2,2,3,1,62,21
