TempKyosan,Female,Age,Satisfaction,Interest,Ideology
5,1,67,4,3,6
0,1,65,2,3,6
10,0,35,3,1,7
0,1,66,1,3,6
0,0,70,2,3,5
0,0,56,3,3,7
100,1,69,2,4,1
10,1,67,2,4,7
30,1,39,3,1,6
10,0,57,4,3,10
50,1,46,3,2,6
25,1,38,3,3,5
25,0,71,2,3,6
10,1,44,1,2,4
10,0,67,4,3,9
50,0,55,3,3,4
50,1,55,3,3,7
40,0,69,3,3,7
95,1,56,1,4,5
50,1,37,3,2,6
0,0,44,1,3,6
0,0,72,1,2,3
5,0,61,1,4,3
10,1,55,2,2,5
20,1,63,4,2,5
0,0,49,1,1,11
50,1,51,1,3,6
30,1,28,2,2,6
0,0,38,3,2,6
0,1,54,1,2,6
50,0,36,3,2,5
80,1,56,1,4,6
0,0,68,4,3,6
10,1,68,3,2,7
25,0,64,3,2,6
50,1,71,1,2,6
50,1,64,2,2,6
20,1,50,4,4,4
50,1,53,4,3,6
90,0,47,1,4,9
50,1,70,1,4,6
0,0,56,3,3,8
0,0,59,3,2,6
10,1,50,1,2,6
50,0,26,3,1,5
20,0,45,3,2,8
0,1,51,3,3,6
0,1,63,2,4,5
20,0,37,4,3,7
40,0,54,3,3,6
80,1,60,1,3,5
50,1,60,2,3,5
5,0,50,3,3,6
100,1,50,1,3,2
50,1,67,2,2,6
10,1,43,2,3,8
30,0,38,3,3,6
30,1,43,5,3,6
50,1,61,1,3,7
40,0,66,5,4,11
50,0,44,1,3,8
50,0,39,1,4,6
0,0,47,1,1,6
0,0,43,4,3,11
10,0,65,4,3,10
50,0,63,3,3,7
70,0,59,1,4,2
60,1,61,1,3,8
10,1,60,4,3,9
0,0,29,3,3,6
10,0,50,2,2,9
50,0,63,1,4,6
50,1,36,2,2,6
50,1,75,3,4,5
50,0,43,1,3,5
50,0,31,1,3,1
0,1,60,2,2,6
30,1,53,2,3,6
20,0,52,4,3,2
0,0,38,2,2,8
25,0,37,3,3,8
100,1,75,1,4,2
40,0,40,3,2,7
10,1,64,3,3,5
0,0,67,1,3,6
10,1,69,3,3,7
0,1,49,1,3,4
20,0,63,2,2,4
0,0,56,1,3,7
0,1,74,3,3,6
0,0,55,1,3,6
10,1,73,1,3,7
1,0,65,2,3,6
50,1,56,1,4,5
50,1,71,1,3,6
10,1,40,3,2,6
20,1,67,1,3,6
25,0,66,2,4,7
0,1,67,3,3,6
50,1,49,1,2,4
0,0,55,2,3,5
50,0,51,4,2,6
50,0,43,3,3,6
20,0,45,1,1,6
5,0,39,4,3,6
30,0,60,1,4,7
50,0,52,3,2,6
5,0,68,3,3,6
20,1,59,3,3,6
0,0,46,4,3,6
30,0,44,3,4,8
50,0,39,1,3,6
0,1,61,2,2,7
50,0,39,4,3,4
30,0,67,1,3,6
20,0,60,3,3,5
50,0,62,2,2,7
20,1,50,4,3,9
70,0,69,1,4,1
0,0,74,4,3,9
0,1,70,2,3,6
0,0,71,3,4,8
50,1,48,2,2,6
40,0,29,3,3,5
0,1,44,3,3,6
0,1,34,1,2,8
10,0,38,2,3,5
50,1,61,3,3,6
50,1,46,2,2,6
50,1,60,4,3,7
0,0,66,1,3,4
10,1,52,3,1,7
