fem,age,educ,inc,child,youtube,diver1,diver2,diver3,diver4,diver5
1,76,2,3,3,1,3,5,5,3,4
0,52,NA,9,2,2,1,1,3,1,3
1,70,5,2,1,2,3,5,5,4,3
1,61,2,2,3,3,3,3,3,3,3
0,57,5,12,2,2,3,3,3,3,2
0,43,6,NA,2,2,3,3,3,3,4
1,66,5,6,2,1,3,3,3,3,3
0,28,5,9,1,5,4,4,4,3,4
1,74,2,7,3,5,3,4,4,3,3
1,68,5,6,3,1,2,2,4,3,3
1,55,4,6,1,1,3,3,3,3,3
0,71,5,NA,3,3,2,3,3,2,3
1,77,2,4,1,2,3,4,3,3,4
1,28,6,4,2,4,3,3,4,3,4
1,74,2,3,3,4,3,4,5,4,4
1,59,5,1,3,4,4,3,3,3,4
1,77,2,6,3,1,4,4,4,4,1
0,70,5,NA,3,3,3,3,4,1,3
0,61,3,10,1,1,4,4,3,4,3
1,72,4,5,3,2,3,4,4,3,4
1,69,5,6,3,4,3,4,4,3,5
0,32,5,8,1,2,4,3,3,2,3
1,62,4,1,1,1,3,3,3,3,4
0,54,2,10,2,4,4,3,3,3,4
0,50,5,NA,1,1,4,5,4,4,4
1,46,5,NA,1,4,5,5,5,5,5
1,46,5,6,2,2,4,4,4,4,4
0,37,5,10,2,4,3,4,4,2,2
0,77,5,12,3,2,2,4,4,2,3
0,46,5,6,1,4,2,3,4,3,2
1,72,2,3,2,1,3,2,3,2,3
0,63,3,6,2,3,3,3,3,3,3
1,60,4,4,2,2,3,3,3,3,4
0,25,5,9,1,3,3,4,4,3,3
0,63,5,1,2,2,4,4,4,4,4
0,77,4,7,3,1,3,4,4,3,4
1,49,2,NA,1,2,2,2,2,1,1
1,41,4,NA,1,4,3,3,3,3,4
1,73,5,6,3,1,4,4,4,4,4
0,24,4,NA,1,4,3,3,3,2,3
0,47,5,18,2,3,2,4,2,3,2
1,57,2,1,1,1,3,4,4,4,3
1,38,4,8,1,4,4,3,4,3,4
0,45,5,5,1,3,3,3,3,3,3
1,50,4,2,1,4,4,4,4,4,4
0,27,5,7,1,6,4,4,3,3,4
1,33,5,1,2,3,4,4,3,3,2
1,39,5,8,1,3,3,3,2,3,3
1,70,5,3,2,2,4,4,5,4,4
0,61,3,10,3,3,4,4,3,4,4
1,50,2,1,3,3,3,3,3,3,3
1,57,5,7,1,2,3,4,5,4,4
0,38,5,7,1,3,4,4,4,4,3
0,63,5,9,2,2,5,5,5,5,5
0,26,2,NA,1,4,1,3,3,1,1
1,74,2,3,2,4,2,3,4,2,3
1,62,5,8,1,4,3,4,4,3,4
1,47,2,1,1,3,4,4,4,4,4
0,71,5,7,1,3,3,3,3,3,3
0,76,5,7,2,1,3,4,4,3,3
0,48,2,1,1,4,4,4,3,3,4
1,70,5,12,1,1,1,1,1,1,1
1,70,3,7,2,1,4,3,4,4,4
1,73,NA,3,2,1,3,3,3,3,3
0,51,3,7,2,2,4,4,4,4,4
1,67,2,2,3,2,2,2,4,2,3
1,57,5,6,2,5,4,3,3,3,2
0,45,NA,14,2,1,4,1,1,1,1
0,39,5,10,2,2,4,4,4,4,4
0,47,5,8,1,3,4,4,4,4,3
0,64,2,8,1,2,3,3,3,3,3
1,53,2,2,2,1,4,4,3,4,4
1,63,4,7,1,2,2,3,3,3,3
1,53,4,10,3,2,4,4,5,5,4
1,54,2,8,1,4,3,4,4,5,4
1,51,5,2,2,3,4,5,4,4,4
0,38,1,1,1,4,3,2,2,2,3
0,71,5,13,3,3,2,4,4,2,4
1,63,5,NA,2,2,3,3,4,3,3
0,49,5,11,1,3,4,4,4,3,4
0,74,5,5,2,4,3,3,4,3,3
0,59,3,11,3,2,3,4,4,3,4
0,36,5,19,2,3,5,5,5,5,4
1,41,6,5,1,5,3,4,4,4,4
0,52,5,8,2,5,3,3,4,4,3
1,67,5,6,1,2,3,4,4,4,4
1,55,2,2,1,7,3,4,4,3,3
0,56,2,9,2,2,3,3,3,3,3
1,30,5,1,1,1,4,2,3,3,3
1,44,NA,11,2,1,4,4,5,4,3
0,29,5,8,1,3,4,3,3,4,3
0,59,5,11,3,3,4,4,4,3,3
1,71,5,6,3,2,3,4,3,3,4
1,26,5,7,1,2,2,4,4,3,4
0,63,2,3,3,3,3,3,3,3,4
0,29,5,8,1,4,3,4,4,4,3
0,34,6,9,2,3,4,3,3,4,3
0,79,5,8,2,1,4,4,5,4,5
0,28,5,1,1,7,1,1,1,1,1
0,71,4,8,3,2,3,3,4,3,4
0,53,5,8,2,5,2,4,4,4,2
1,54,2,1,1,3,3,3,3,3,4
1,51,5,NA,2,2,3,4,4,4,4
1,28,4,6,1,3,4,4,4,4,5
1,64,2,NA,2,2,4,4,4,4,4
0,22,2,7,1,3,3,4,4,4,4
0,69,5,7,2,3,2,4,4,3,3
0,70,2,6,3,1,2,3,3,3,3
1,54,2,1,2,2,2,3,4,2,4
0,77,1,6,3,5,2,4,4,3,4
0,56,6,10,2,2,5,5,5,5,5
1,72,2,3,3,1,5,5,2,1,5
0,66,6,7,3,4,4,4,2,3,4
1,29,6,8,1,3,3,4,4,3,4
0,75,4,4,3,5,3,4,4,4,3
0,58,6,14,1,2,3,3,3,3,4
0,49,2,9,2,2,4,3,4,4,3
1,26,5,7,1,4,4,4,4,4,4
0,30,5,16,1,2,3,4,3,2,3
0,54,5,13,1,4,4,4,3,3,4
0,35,2,10,1,6,2,2,3,2,2
0,34,NA,NA,1,7,1,1,1,1,1
0,65,2,7,3,2,4,4,4,4,5
0,49,4,NA,2,3,3,4,4,3,3
1,56,4,1,1,2,1,3,3,3,3
1,42,2,3,2,2,5,4,4,5,4
0,68,4,8,2,4,3,4,4,3,4
0,69,5,8,3,2,4,4,4,3,4
0,32,6,9,2,4,4,4,4,4,3
