Temp_Rikken,Ideology,Interest,Gender,Age,Education,Job,Income
10,9,1,1,73,4,5,2609616
40,6,3,2,29,4,1,9550118
50,3,2,2,50,3,2,6500322
25,6,4,1,38,4,1,8577518
20,5,2,1,50,4,2,989468
20,6,2,1,70,1,6,9489017
50,7,2,2,57,2,4,8387924
20,6,3,2,61,2,1,3280343
70,5,3,1,54,4,1,4547965
10,6,2,1,41,2,2,4415134
50,6,3,2,47,4,1,6492171
1,3,3,2,52,3,4,10979493
50,6,3,1,45,4,1,1045825
25,7,2,1,50,4,1,8561833
50,6,2,2,42,3,1,7457851
50,8,1,2,74,2,4,2519446
0,6,3,1,53,3,1,6390421
0,6,2,2,40,3,5,2511002
30,7,3,2,60,2,4,3553272
60,8,2,1,75,4,5,4516495
50,6,3,2,51,3,5,936076
50,6,2,1,64,1,5,3589078
75,5,2,2,70,4,4,2536291
0,5,2,2,61,4,4,11101520
10,5,3,2,54,2,1,3443098
50,6,4,2,41,2,1,1109444
0,8,1,1,40,3,1,8523890
0,11,1,1,51,2,1,4531334
50,6,4,1,31,4,1,7544454
100,3,2,1,45,4,1,2368722
60,6,3,2,52,3,4,17044684
0,6,2,2,71,2,4,7368269
40,4,2,2,56,2,1,3365671
50,8,2,2,59,2,1,8440356
20,5,1,1,46,4,1,9433005
75,6,2,1,43,4,1,8575504
20,7,2,2,44,4,1,17093155
70,7,1,1,57,4,2,3704668
30,7,3,2,48,3,1,8371776
0,5,2,2,34,4,4,9455812
0,6,4,2,55,1,4,918278
50,7,2,2,49,4,2,3549753
52,7,2,1,53,2,1,9564023
45,6,2,2,42,4,1,3345246
60,6,1,2,65,3,5,3478195
100,1,1,1,67,4,1,7645749
30,7,3,2,62,2,4,7356827
40,11,2,1,51,4,1,8566054
25,6,3,1,48,2,1,9504384
50,5,3,1,23,4,1,9631677
25,6,2,2,56,4,1,8688560
60,3,2,1,52,2,1,17106019
0,6,3,1,66,4,5,4688648
0,9,1,1,57,3,1,16882377
10,7,2,2,66,2,4,6489461
55,5,2,2,58,4,1,8461752
100,1,1,1,75,4,5,6582639
30,7,3,2,63,2,1,6429458
50,3,3,2,47,2,1,11068644
75,6,2,2,70,2,4,3489850
25,6,3,2,31,4,4,9444794
30,9,2,1,68,2,2,9382222
15,6,2,1,70,2,5,2611287
0,11,1,1,36,4,1,8371782
20,7,4,1,46,4,5,1031935
20,10,2,1,73,4,5,2325293
0,8,2,1,37,2,1,6442991
10,10,2,1,40,4,1,7578391
10,7,2,1,45,4,1,8607535
1,6,2,1,28,4,2,24850897
45,6,2,1,54,3,2,7491719
50,6,2,2,42,4,1,9419694
30,8,3,1,56,2,1,6383535
50,6,3,2,59,2,5,877880
50,6,2,2,38,3,1,4439074
0,6,4,2,47,2,4,943747
60,5,2,1,44,2,1,4543426
45,3,1,2,52,2,1,7537357
50,8,2,1,36,4,1,6640766
0,9,1,1,52,4,2,3548403
20,6,1,1,50,4,5,1077788
50,4,2,2,38,4,1,7397869
25,4,2,2,47,2,1,9758298
50,6,3,2,61,3,4,1013192
50,7,3,2,60,2,4,4527652
0,8,2,1,71,4,5,6412042
0,9,3,2,51,3,1,17105003
70,8,1,1,71,2,5,4475091
60,6,2,2,62,2,5,3639872
80,5,2,1,58,2,2,2559222
60,5,2,1,51,4,1,9477762
20,3,3,2,60,2,1,3519383
0,10,1,2,49,4,2,7537944
30,7,3,1,44,3,5,2601646
80,3,1,1,56,4,1,13204211
10,9,1,2,69,4,4,2567077
50,3,2,2,70,4,4,7578822
50,6,2,1,57,4,1,9640993
10,9,1,1,67,2,2,4633235
70,4,2,1,33,4,1,3374869
70,2,1,1,38,4,2,10960486
0,5,2,2,69,2,5,6404500
40,6,1,2,69,3,4,3359517
40,6,1,2,75,2,4,2461087
51,7,2,1,42,4,1,8460728
10,5,1,1,56,2,1,3637149
0,6,1,1,55,2,1,11043898
40,6,3,2,35,2,1,4548106
50,9,2,1,61,4,1,3523092
10,8,1,1,56,4,1,4454923
50,6,3,2,61,3,1,10983200
20,7,2,2,62,4,2,3371305
0,5,1,1,45,4,1,11006934
60,5,3,1,61,2,1,6562290
80,3,1,1,67,2,5,3482083
0,6,2,1,62,3,2,2643136
80,11,2,1,40,3,1,4709348
30,7,3,2,60,4,2,24933134
0,4,1,1,68,3,5,4722385
0,5,3,1,31,4,2,8540692
20,7,2,1,61,4,1,9493597
50,6,2,1,44,2,1,9560462
50,7,2,1,50,4,1,10919080
50,5,2,1,56,4,1,6626655
40,6,1,1,59,4,5,7408285
40,7,3,2,49,2,1,3571806
50,7,4,2,41,2,4,3446485
25,3,1,1,35,4,1,4489521
60,5,1,2,63,4,4,7442911
10,6,3,1,55,4,1,7580310
30,4,1,1,69,2,5,3441381
50,6,3,2,61,4,1,4520359
0,11,1,2,60,2,4,4548985
0,6,2,2,70,3,4,976091
30,6,2,2,29,3,1,9561040
0,2,3,2,27,3,1,3639411
0,9,2,1,73,2,5,7490422
40,5,2,2,50,2,5,2460172
0,9,2,2,74,2,5,3435318
0,7,2,2,26,2,1,9602977
0,5,3,1,52,2,1,1119416
30,8,3,1,62,2,5,1035868
50,6,3,1,38,4,2,4457946
40,7,2,2,56,3,4,9353396
50,6,1,1,56,4,1,9343018
80,7,2,2,74,4,2,7563259
70,10,2,2,47,4,1,9360221
60,7,2,1,46,4,1,13010290
40,6,2,1,39,2,1,4492415
45,5,2,2,63,3,5,1073393
50,7,3,1,37,4,2,8653433
10,5,3,2,70,3,5,1045085
50,9,2,2,63,3,4,2308992
50,6,2,2,47,3,4,9406421
49,6,3,1,43,2,1,7354902
95,4,2,1,68,4,5,2467372
30,6,1,2,72,2,4,13058835
0,6,3,1,40,4,1,8389953
20,8,2,1,38,4,1,3450706
55,9,2,1,29,4,1,3560139
30,3,2,1,39,4,1,6483398
50,6,3,2,54,2,4,9450778
50,6,2,1,37,3,1,9505119
20,8,3,1,43,3,1,945376
10,4,2,2,37,4,1,4301410
35,7,2,2,57,2,4,13000086
90,5,1,1,65,4,5,9616697
50,6,3,2,66,3,4,3598511
70,6,2,1,70,4,5,2626010
0,6,2,2,57,4,1,17072710
25,11,2,1,74,2,1,9666571
0,4,3,2,56,3,5,3750492
100,7,2,2,72,3,4,4426927
40,6,1,1,70,4,5,2296837
40,6,4,2,43,3,1,7558772
50,5,1,1,66,2,5,4628822
50,11,3,2,35,3,4,3691018
0,6,3,2,50,4,1,11089440
0,9,2,2,43,2,5,969974
1,4,3,2,55,4,4,1071462
